한자,훈/음 (1),훈/음 (2),훈/음 (3),부수,급수
戶,집 호:,,,戶,4급Ⅱ
處,곳 처:,,,虍,4급Ⅱ
治,다스릴 치,,,水,4급Ⅱ
砲,대포 포:,,,石,4급Ⅱ
鄕,시골 향,,,邑,4급Ⅱ
護,도울 호:,,,言,4급Ⅱ
請,청할 청,,,言,4급Ⅱ
置,둘[措] 치:,,,网,4급Ⅱ
包,쌀[裹] 포(:),,,勹,4급Ⅱ
香,향기 향,,,香,4급Ⅱ
呼,부를 호,,,口,4급Ⅱ
總,다[皆] 총:,,,糸,4급Ⅱ
齒,이 치,,,齒,4급Ⅱ
布,베 포(:),펼 포(:),보시 보:,巾,4급Ⅱ
虛,빌 허,,,虍,4급Ⅱ
貨,재물 화:,,,貝,4급Ⅱ
銃,총 총,,,金,4급Ⅱ
侵,침노할 침,,,人,4급Ⅱ
暴,사나울 폭,모질 포:,,日,4급Ⅱ
驗,시험 험:,,,馬,4급Ⅱ
確,굳을 확,,,石,4급Ⅱ
築,쌓을 축,,,竹,4급Ⅱ
快,쾌할 쾌,,,心,4급Ⅱ
票,표 표,,,示,4급Ⅱ
賢,어질 현,,,貝,4급Ⅱ
回,돌아올 회,,,囗,4급Ⅱ
蓄,모을 축,,,艸,4급Ⅱ
態,모습 태:,,,心,4급Ⅱ
豊,풍년 풍,,,豆,4급Ⅱ
血,피 혈,,,血,4급Ⅱ
吸,마실 흡,,,口,4급Ⅱ
忠,충성 충,,,心,4급Ⅱ
統,거느릴 통:,,,糸,4급Ⅱ
限,한할 한:,,,阜,4급Ⅱ
協,화할 협,,,十,4급Ⅱ
興,일[盛] 흥(:),,,臼,4급Ⅱ
蟲,벌레 충,,,虫,4급Ⅱ
退,물러날 퇴:,,,辵,4급Ⅱ
航,배 항:,,,舟,4급Ⅱ
惠,은혜 혜:,,,心,4급Ⅱ
希,바랄 희,,,巾,4급Ⅱ
暇,틈 가:,겨를 가:,,日,4급
拒,막을 거:,,,手,4급
驚,놀랄 경,,,馬,4급
孤,외로울 고,,,子,4급
君,임금 군,,,口,4급
刻,새길 각,,,刀,4급
居,살 거,,,尸,4급
更,고칠 경,다시 갱:,,曰,4급
庫,곳집 고,,,广,4급
群,무리 군,,,羊,4급
覺,깨달을 각,,,見,4급
據,근거 거:,,,手,4급
傾,기울 경,,,人,4급
穀,곡식 곡,,,禾,4급
屈,굽힐 굴,,,尸,4급
簡,대쪽 간(:),간략할 간(:),,竹,4급
巨,클 거:,,,工,4급
鏡,거울 경:,,,金,4급
困,곤할 곤:,,,囗,4급
窮,다할 궁,궁할 궁,,穴,4급
看,볼 간,,,目,4급
傑,뛰어날 걸,,,人,4급
階,섬돌 계,,,阜,4급
骨,뼈 골,,,骨,4급
券,문서 권,,,刀,4급
干,방패 간,,,干,4급
儉,검소할 검:,,,人,4급
鷄,닭 계,,,鳥,4급
孔,구멍 공:,,,子,4급
勸,권할 권:,,,力,4급
甘,달 감,,,甘,4급
擊,칠[打] 격,,,手,4급
季,계절 계:,,,子,4급
攻,칠[擊] 공:,,,攴,4급
卷,책 권(:),,,卩,4급
敢,감히 감:,구태여 감:,,攴,4급
激,격할 격,,,水,4급
系,이어맬 계:,,,糸,4급
管,대롱 관,주관할 관,,竹,4급
歸,돌아갈 귀:,,,止,4급
甲,갑옷 갑,,,田,4급
堅,굳을 견,,,土,4급
繼,이을 계:,,,糸,4급
鑛,쇳돌 광:,,,金,4급
均,고를 균,,,土,4급
降,내릴 강:,항복할 항,,阜,4급
犬,개 견,,,犬,4급
戒,경계할 계:,,,戈,4급
構,얽을 구,,,木,4급
劇,심할 극,,,刀,4급
勤,부지런할 근(:),,,力,4급
逃,도망할 도,,,辵,4급
輪,바퀴 륜,,,車,4급
髮,터럭 발,,,髟,4급
粉,가루 분(:),,,米,4급
筋,힘줄 근,,,竹,4급
亂,어지러울 란:,,,乙,4급
離,떠날 리:,,,隹,4급
妨,방해할 방,,,女,4급
憤,분할 분:,,,心,4급
機,틀 기,,,木,4급
卵,알 란:,,,卩,4급
妹,누이 매,,,女,4급
犯,범할 범:,,,犬,4급
批,비평할 비:,,,手,4급
寄,부칠 기,,,宀,4급
覽,볼 람,,,見,4급
勉,힘쓸 면:,,,力,4급
範,법 범:,,,竹,4급
祕,숨길 비:,,,示,4급
奇,기특할 기,,,大,4급
略,간략할 략,약할 략,,田,4급
鳴,울 명,,,鳥,4급
辯,말씀 변:,,,辛,4급
碑,비석 비,,,石,4급
紀,벼리 기,,,糸,4급
糧,양식 량,,,米,4급
模,본뜰 모,,,木,4급
普,넓을 보:,,,日,4급
辭,말씀 사,,,辛,4급
納,들일 납,,,糸,4급
慮,생각할 려:,,,心,4급
墓,무덤 묘:,,,土,4급
伏,엎드릴 복,,,人,4급
私,사사(私事) 사,,,禾,4급
段,층계 단,,,殳,4급
烈,매울 렬,,,火,4급
妙,묘할 묘:,,,女,4급
複,겹칠 복,,,衣,4급
絲,실 사,,,糸,4급
徒,무리 도,,,彳,4급
龍,용 룡,,,龍,4급
舞,춤출 무:,,,舛,4급
否,아닐 부:,,,口,4급
射,쏠 사(:),,,寸,4급
盜,도둑 도(:),,,皿,4급
柳,버들 류(:),,,木,4급
拍,칠 박,,,手,4급
負,질[荷] 부:,,,貝,4급
散,흩을 산:,,,攴,4급
傷,다칠 상,,,人,4급
肅,엄숙할 숙,,,聿,4급
鉛,납 연,,,金,4급
怨,원망할 원(:),,,心,4급
儒,선비 유,,,人,4급
象,코끼리 상,,,豕,4급
崇,높을 숭,,,山,4급
緣,인연 연,,,糸,4급
援,도울 원:,,,手,4급
遺,남길 유,,,辵,4급
宣,베풀 선,,,宀,4급
氏,각시 씨,성씨(姓氏) 씨,,氏,4급
延,늘일 연,,,廴,4급
源,근원 원,,,水,4급
隱,숨을 은,,,阜,4급
舌,혀 설,,,舌,4급
額,이마 액,,,頁,4급
迎,맞을 영,,,辵,4급
圍,에워쌀 위,,,囗,4급
依,의지할 의,,,人,4급
屬,붙일 속,,,尸,4급
樣,모양 양,,,木,4급
映,비칠 영(:),,,日,4급
委,맡길 위,,,女,4급
儀,거동 의,,,人,4급
損,덜 손:,,,手,4급
嚴,엄할 엄,,,口,4급
營,경영할 영,,,火,4급
威,위엄 위,,,女,4급
疑,의심할 의,,,疋,4급
頌,기릴 송:,칭송할 송:,,頁,4급
與,더불 여:,줄 여:,,臼,4급
豫,미리 예:,,,豕,4급
慰,위로할 위,,,心,4급
異,다를 이:,,,田,4급
松,소나무 송,,,木,4급
域,지경 역,,,土,4급
優,넉넉할 우,,,人,4급
危,위태할 위,,,卩,4급
仁,어질 인,,,人,4급
秀,빼어날 수,,,禾,4급
易,바꿀 역,쉬울 이:,,日,4급
遇,만날 우:,,,辵,4급
遊,놀 유,,,辵,4급
資,재물 자,,,貝,4급
叔,아재비 숙,,,又,4급
燃,탈 연,,,火,4급
郵,우편 우,,,邑,4급
乳,젖 유,,,乙,4급
姿,모양 자:,,,女,4급
姉,손윗누이 자,,,女,4급
積,쌓을 적,,,禾,4급
占,점령할 점:,점칠 점,,卜,4급
從,좇을 종(:),,,彳,4급
珍,보배 진,,,玉,4급
殘,남을 잔,,,歹,4급
籍,문서 적,,,竹,4급
靜,고요할 정,,,靑,4급
座,자리 좌:,,,广,4급
盡,다할 진:,,,皿,4급
雜,섞일 잡,,,隹,4급
適,맞을 적,,,辵,4급
丁,고무래 정,장정 정,,一,4급
酒,술 주(:),,,酉,4급
陣,진칠 진,,,阜,4급
獎,장려할 장(:),,,犬,4급
績,길쌈 적,,,糸,4급
整,가지런할 정:,,,攴,4급
朱,붉을 주,,,木,4급
差,다를 차,,,工,4급
裝,꾸밀 장,,,衣,4급
賊,도둑 적,,,貝,4급
帝,임금 제:,,,巾,4급
周,두루 주,,,口,4급
讚,기릴 찬:,,,言,4급
腸,창자 장,,,肉,4급
專,오로지 전,,,寸,4급
條,가지 조,,,木,4급
證,증거 증,,,言,4급
採,캘 채:,,,手,4급
張,베풀 장,,,弓,4급
轉,구를 전:,,,車,4급
潮,밀물 조,조수 조,,水,4급
持,가질 지,,,手,4급
冊,책 책,,,冂,4급
壯,장할 장:,,,士,4급
錢,돈 전:,,,金,4급
組,짤 조,,,糸,4급
智,슬기 지,지혜 지,,日,4급
泉,샘 천,,,水,4급
帳,장막 장,,,巾,4급
折,꺾을 절,,,手,4급
存,있을 존,,,子,4급
誌,기록할 지,,,言,4급
聽,들을 청,,,耳,4급
底,밑 저:,,,广,4급
點,점 점(:),,,黑,4급
鍾,쇠북 종,,,金,4급
織,짤 직,,,糸,4급
廳,관청 청,,,广,4급
招,부를 초,,,手,4급
彈,탄알 탄:,,,弓,4급
篇,책 편,,,竹,4급
抗,겨룰 항:,,,手,4급
紅,붉을 홍,,,糸,4급
推,밀 추,,,手,4급
脫,벗을 탈,,,肉,4급
評,평할 평:,,,言,4급
核,씨 핵,,,木,4급
華,빛날 화,,,艸,4급
縮,줄일 축,,,糸,4급
探,찾을 탐,,,手,4급
閉,닫을 폐:,,,門,4급
憲,법 헌:,,,心,4급
歡,기쁠 환,,,欠,4급
就,나아갈 취:,,,尢,4급
擇,가릴 택,,,手,4급
胞,세포 포(:),,,肉,4급
險,험할 험:,,,阜,4급
環,고리 환(:),,,玉,4급
趣,뜻 취:,,,走,4급
討,칠 토(:),,,言,4급
爆,불터질 폭,,,火,4급
革,가죽 혁,,,革,4급
況,상황 황:,,,水,4급
層,층[層階] 층,,,尸,4급
痛,아플 통:,,,疒,4급
標,표할 표,,,木,4급
顯,나타날 현:,,,頁,4급
灰,재 회,,,火,4급
寢,잘 침:,,,宀,4급
投,던질 투,,,手,4급
疲,피곤할 피,,,疒,4급
刑,형벌 형,,,刀,4급
厚,두터울 후:,,,厂,4급
針,바늘 침(:),,,金,4급
鬪,싸움 투,,,鬥,4급
避,피할 피:,,,辵,4급
或,혹 혹,,,戈,4급
候,기후 후:,,,人,4급
稱,일컬을 칭,,,禾,4급
派,갈래 파,,,水,4급
閑,한가할 한,,,門,4급
婚,혼인할 혼,,,女,4급
揮,휘두를 휘,,,手,4급
歎,탄식할 탄:,,,欠,4급
判,판단할 판,,,刀,4급
恨,한[怨] 한:,,,心,4급
混,섞을 혼:,,,水,4급
喜,기쁠 희,,,口,4급
佳,아름다울 가:,,,人,3급Ⅱ
綱,벼리 강,,,糸,3급Ⅱ
兼,겸할 겸,,,八,3급Ⅱ
械,기계 계:,,,木,3급Ⅱ
誇,자랑할 과:,,,言,3급Ⅱ
架,시렁 가:,,,木,3급Ⅱ
鋼,강철 강,,,金,3급Ⅱ
謙,겸손할 겸,,,言,3급Ⅱ
姑,시어미 고,,,女,3급Ⅱ
寡,적을 과:,,,宀,3급Ⅱ
脚,다리 각,,,肉,3급Ⅱ
槪,대개 개:,,,木,3급Ⅱ
頃,이랑 경,잠깐 경,,頁,3급Ⅱ
稿,원고 고,볏짚 고,,禾,3급Ⅱ
寬,너그러울 관,,,宀,3급Ⅱ
閣,집 각,,,門,3급Ⅱ
介,낄 개:,,,人,3급Ⅱ
徑,지름길 경,길 경,,彳,3급Ⅱ
鼓,북 고,,,鼓,3급Ⅱ
貫,꿸 관(:),,,貝,3급Ⅱ
刊,새길 간,,,刀,3급Ⅱ
蓋,덮을 개(:),,,艸,3급Ⅱ
硬,굳을 경,,,石,3급Ⅱ
哭,울 곡,,,口,3급Ⅱ
館,집 관,,,食,3급Ⅱ
幹,줄기 간,,,干,3급Ⅱ
距,상거(相距)할 거:,,,足,3급Ⅱ
耕,밭갈[犁田] 경,,,耒,3급Ⅱ
谷,골 곡,,,谷,3급Ⅱ
慣,익숙할 관,,,心,3급Ⅱ
懇,간절할 간:,,,心,3급Ⅱ
乾,하늘 건,마를 건,,乙,3급Ⅱ
契,맺을 계:,,,大,3급Ⅱ
貢,바칠 공:,,,貝,3급Ⅱ
冠,갓 관,,,冖,3급Ⅱ
肝,간 간(:),,,肉,3급Ⅱ
劍,칼 검:,,,刀,3급Ⅱ
桂,계수나무 계:,,,木,3급Ⅱ
供,이바지할 공:,,,人,3급Ⅱ
狂,미칠 광,,,犬,3급Ⅱ
鑑,거울 감,,,金,3급Ⅱ
隔,사이뜰 격,,,阜,3급Ⅱ
啓,열 계:,,,口,3급Ⅱ
恐,두려울 공(:),,,心,3급Ⅱ
壞,무너질 괴:,,,土,3급Ⅱ
剛,굳셀 강,,,刀,3급Ⅱ
訣,이별할 결,,,言,3급Ⅱ
溪,시내 계,,,水,3급Ⅱ
恭,공손할 공,,,心,3급Ⅱ
怪,괴이할 괴(:),,,心,3급Ⅱ
巧,공교할 교,,,工,3급Ⅱ
克,이길 극,,,儿,3급Ⅱ
緊,긴할 긴,,,糸,3급Ⅱ
但,다만 단:,,,人,3급Ⅱ
倒,넘어질 도:,,,人,3급Ⅱ
較,견줄 교,비교할 교,,車,3급Ⅱ
禽,새 금,,,禸,3급Ⅱ
諾,허락할 낙,,,言,3급Ⅱ
丹,붉을 단,,,丶,3급Ⅱ
陶,질그릇 도,,,阜,3급Ⅱ
久,오랠 구:,,,丿,3급Ⅱ
錦,비단 금:,,,金,3급Ⅱ
娘,계집 낭,,,女,3급Ⅱ
淡,맑을 담,,,水,3급Ⅱ
途,길[行中] 도:,,,辵,3급Ⅱ
拘,잡을 구,,,手,3급Ⅱ
琴,거문고 금,,,玉,3급Ⅱ
耐,견딜 내:,,,而,3급Ⅱ
踏,밟을 답,,,足,3급Ⅱ
刀,칼 도,,,刀,3급Ⅱ
丘,언덕 구,,,一,3급Ⅱ
及,미칠 급,,,又,3급Ⅱ
寧,편안 녕,,,宀,3급Ⅱ
糖,엿 당,,,米,3급Ⅱ
突,갑자기 돌,,,穴,3급Ⅱ
菊,국화 국,,,艸,3급Ⅱ
騎,말탈 기,,,馬,3급Ⅱ
奴,종 노,,,女,3급Ⅱ
唐,당나라 당(:),당황할 당(:),,口,3급Ⅱ
凍,얼 동:,,,冫,3급Ⅱ
弓,활 궁,,,弓,3급Ⅱ
祈,빌 기,,,示,3급Ⅱ
腦,골 뇌,뇌수 뇌,,肉,3급Ⅱ
臺,대 대,,,至,3급Ⅱ
絡,이을 락,얽을 락,,糸,3급Ⅱ
拳,주먹 권:,,,手,3급Ⅱ
畿,경기(京畿) 기,,,田,3급Ⅱ
泥,진흙 니,,,水,3급Ⅱ
貸,빌릴 대:,뀔 대:,,貝,3급Ⅱ
欄,난간 란,,,木,3급Ⅱ
鬼,귀신 귀:,,,鬼,3급Ⅱ
其,그 기,,,八,3급Ⅱ
茶,차 다,차 차,,艸,3급Ⅱ
渡,건널 도,,,水,3급Ⅱ
蘭,난초 란,,,艸,3급Ⅱ
菌,버섯 균,,,艸,3급Ⅱ
企,꾀할 기,,,人,3급Ⅱ
旦,아침 단,,,日,3급Ⅱ
桃,복숭아 도,,,木,3급Ⅱ
浪,물결 랑(:),,,水,3급Ⅱ
廊,사랑채 랑,행랑 랑,,广,3급Ⅱ
裂,찢어질 렬,,,衣,3급Ⅱ
樓,다락 루,,,木,3급Ⅱ
臨,임할 림,,,臣,3급Ⅱ
麥,보리 맥,,,麥,3급Ⅱ
郞,사내 랑,,,邑,3급Ⅱ
靈,신령 령,,,雨,3급Ⅱ
累,여러 루:,자주 루:,,糸,3급Ⅱ
磨,갈 마,,,石,3급Ⅱ
孟,맏 맹(:),,,子,3급Ⅱ
涼,서늘할 량,,,水,3급Ⅱ
嶺,고개 령,,,山,3급Ⅱ
倫,인륜 륜,,,人,3급Ⅱ
麻,삼 마(:),,,麻,3급Ⅱ
猛,사나울 맹:,,,犬,3급Ⅱ
梁,들보 량,돌다리 량,,木,3급Ⅱ
露,이슬 로(:),,,雨,3급Ⅱ
率,비율 률,거느릴 솔,,玄,3급Ⅱ
漠,넓을 막,,,水,3급Ⅱ
盲,소경 맹,눈멀 맹,,目,3급Ⅱ
勵,힘쓸 려:,,,力,3급Ⅱ
爐,화로 로,,,火,3급Ⅱ
栗,밤 률,,,木,3급Ⅱ
莫,없을 막,,,艸,3급Ⅱ
盟,맹세 맹,,,皿,3급Ⅱ
曆,책력 력,,,日,3급Ⅱ
祿,녹 록,,,示,3급Ⅱ
隆,높을 륭,,,阜,3급Ⅱ
幕,장막 막,,,巾,3급Ⅱ
眠,잘 면,,,目,3급Ⅱ
鍊,쇠불릴 련:,단련할 련:,,金,3급Ⅱ
弄,희롱할 롱:,,,廾,3급Ⅱ
陵,언덕 릉,,,阜,3급Ⅱ
晩,늦을 만:,,,日,3급Ⅱ
綿,솜 면,,,糸,3급Ⅱ
蓮,연꽃 련,,,艸,3급Ⅱ
賴,의뢰할 뢰:,,,貝,3급Ⅱ
吏,벼슬아치 리:,관리 리:,,口,3급Ⅱ
妄,망령될 망:,,,女,3급Ⅱ
免,면할 면:,,,儿,3급Ⅱ
聯,연이을 련,,,耳,3급Ⅱ
雷,우레 뢰,,,雨,3급Ⅱ
履,밟을 리:,,,尸,3급Ⅱ
媒,중매 매,,,女,3급Ⅱ
滅,꺼질 멸,멸할 멸,,水,3급Ⅱ
戀,그리워할 련:,그릴 련:,,心,3급Ⅱ
漏,샐 루:,,,水,3급Ⅱ
裏,속 리:,,,衣,3급Ⅱ
梅,매화 매,,,木,3급Ⅱ
銘,새길 명,,,金,3급Ⅱ
謀,꾀 모,,,言,3급Ⅱ
默,잠잠할 묵,,,黑,3급Ⅱ
拔,뽑을 발,,,手,3급Ⅱ
譜,족보 보:,,,言,3급Ⅱ
浮,뜰 부,,,水,3급Ⅱ
貌,모양 모,,,豸,3급Ⅱ
紋,무늬 문,,,糸,3급Ⅱ
芳,꽃다울 방,,,艸,3급Ⅱ
補,기울 보:,,,衣,3급Ⅱ
賦,부세 부:,,,貝,3급Ⅱ
慕,그릴 모:,,,心,3급Ⅱ
勿,말[禁] 물,,,勹,3급Ⅱ
輩,무리 배:,,,車,3급Ⅱ
覆,덮을 부,다시 복,,襾,3급Ⅱ
腐,썩을 부:,,,肉,3급Ⅱ
睦,화목할 목,,,目,3급Ⅱ
微,작을 미,,,彳,3급Ⅱ
培,북돋울 배:,,,土,3급Ⅱ
腹,배 복,,,肉,3급Ⅱ
附,붙을 부(:),,,阜,3급Ⅱ
沒,빠질 몰,,,水,3급Ⅱ
尾,꼬리 미:,,,尸,3급Ⅱ
排,밀칠 배,,,手,3급Ⅱ
鳳,봉새 봉:,,,鳥,3급Ⅱ
簿,문서 부:,,,竹,3급Ⅱ
蒙,어두울 몽,,,艸,3급Ⅱ
迫,핍박할 박,,,辵,3급Ⅱ
伯,맏 백,,,人,3급Ⅱ
封,봉할 봉,,,寸,3급Ⅱ
扶,도울 부,,,手,3급Ⅱ
夢,꿈 몽,,,夕,3급Ⅱ
薄,엷을 박,,,艸,3급Ⅱ
繁,번성할 번,,,糸,3급Ⅱ
峯,봉우리 봉,,,山,3급Ⅱ
奔,달릴 분,,,大,3급Ⅱ
貿,무역할 무:,,,貝,3급Ⅱ
般,가지 반,일반 반,,舟,3급Ⅱ
凡,무릇 범(:),,,几,3급Ⅱ
逢,만날 봉,,,辵,3급Ⅱ
奮,떨칠 분:,,,大,3급Ⅱ
茂,무성할 무:,,,艸,3급Ⅱ
盤,소반 반,,,皿,3급Ⅱ
碧,푸를 벽,,,石,3급Ⅱ
符,부호 부(:),,,竹,3급Ⅱ
紛,어지러울 분,,,糸,3급Ⅱ
墨,먹 묵,,,土,3급Ⅱ
飯,밥 반,,,食,3급Ⅱ
丙,남녘 병:,,,一,3급Ⅱ
付,부칠 부:,,,人,3급Ⅱ
拂,떨칠 불,,,手,3급Ⅱ
妃,왕비 비,,,女,3급Ⅱ
祀,제사 사,,,示,3급Ⅱ
償,갚을 상,,,人,3급Ⅱ
旋,돌[廻] 선,,,方,3급Ⅱ
壽,목숨 수,,,士,3급Ⅱ
婢,계집종 비:,,,女,3급Ⅱ
削,깎을 삭,,,刀,3급Ⅱ
索,찾을 색,노[새끼줄] 삭,,糸,3급Ⅱ
訴,호소할 소,,,言,3급Ⅱ
帥,장수 수,,,巾,3급Ⅱ
肥,살찔 비:,,,肉,3급Ⅱ
森,수풀 삼,,,木,3급Ⅱ
塞,막힐 색,변방 새,,土,3급Ⅱ
燒,사를 소(:),,,火,3급Ⅱ
殊,다를 수,,,歹,3급Ⅱ
卑,낮을 비:,,,十,3급Ⅱ
霜,서리 상,,,雨,3급Ⅱ
恕,용서할 서:,,,心,3급Ⅱ
疏,소통할 소,,,疋,3급Ⅱ
輸,보낼 수,,,車,3급Ⅱ
邪,간사할 사,,,邑,3급Ⅱ
裳,치마 상,,,衣,3급Ⅱ
緖,실마리 서:,,,糸,3급Ⅱ
蘇,되살아날 소,,,艸,3급Ⅱ
隨,따를 수,,,阜,3급Ⅱ
沙,모래 사,,,水,3급Ⅱ
桑,뽕나무 상,,,木,3급Ⅱ
徐,천천할 서(:),,,彳,3급Ⅱ
訟,송사할 송:,,,言,3급Ⅱ
需,쓰일 수,쓸 수,,雨,3급Ⅱ
司,맡을 사,,,口,3급Ⅱ
喪,잃을 상(:),,,口,3급Ⅱ
署,마을[官廳] 서:,,,网,3급Ⅱ
鎖,쇠사슬 쇄:,,,金,3급Ⅱ
垂,드리울 수,,,土,3급Ⅱ
蛇,긴뱀 사,,,虫,3급Ⅱ
詳,자세할 상,,,言,3급Ⅱ
惜,아낄 석,,,心,3급Ⅱ
刷,인쇄할 쇄:,,,刀,3급Ⅱ
獸,짐승 수,,,犬,3급Ⅱ
斜,비낄 사,,,斗,3급Ⅱ
尙,오히려 상(:),,,小,3급Ⅱ
釋,풀 석,,,釆,3급Ⅱ
衰,쇠할 쇠,,,衣,3급Ⅱ
淑,맑을 숙,,,水,3급Ⅱ
詞,말 사,글 사,,言,3급Ⅱ
像,모양 상,,,人,3급Ⅱ
禪,선 선,,,示,3급Ⅱ
愁,근심 수,,,心,3급Ⅱ
熟,익을 숙,,,火,3급Ⅱ
旬,열흘 순,,,日,3급Ⅱ
侍,모실 시:,,,人,3급Ⅱ
芽,싹 아,,,艸,3급Ⅱ
壤,흙덩이 양:,,,土,3급Ⅱ
沿,물따라갈 연(:),따를 연(:),,水,3급Ⅱ
瞬,눈깜짝일 순,,,目,3급Ⅱ
飾,꾸밀 식,,,食,3급Ⅱ
牙,어금니 아,,,牙,3급Ⅱ
揚,날릴 양,,,手,3급Ⅱ
軟,연할 연:,,,車,3급Ⅱ
巡,돌[廻] 순,순행할 순,,巛,3급Ⅱ
愼,삼갈 신:,,,心,3급Ⅱ
顔,낯 안:,,,頁,3급Ⅱ
御,거느릴 어:,,,彳,3급Ⅱ
宴,잔치 연:,,,宀,3급Ⅱ
述,펼 술,,,辵,3급Ⅱ
甚,심할 심:,,,甘,3급Ⅱ
岸,언덕 안:,,,山,3급Ⅱ
憶,생각할 억,,,心,3급Ⅱ
燕,제비 연(:),,,火,3급Ⅱ
濕,젖을 습,,,水,3급Ⅱ
審,살필 심(:),,,宀,3급Ⅱ
巖,바위 암,,,山,3급Ⅱ
抑,누를 억,,,手,3급Ⅱ
悅,기쁠 열,,,心,3급Ⅱ
拾,주울 습,열 십,,手,3급Ⅱ
雙,두 쌍,쌍 쌍,,隹,3급Ⅱ
仰,우러를 앙:,,,人,3급Ⅱ
疫,전염병 역,,,疒,3급Ⅱ
染,물들 염:,,,木,3급Ⅱ
襲,엄습할 습,,,衣,3급Ⅱ
雅,맑을 아(:),,,隹,3급Ⅱ
央,가운데 앙,,,大,3급Ⅱ
亦,또 역,,,亠,3급Ⅱ
鹽,소금 염,,,鹵,3급Ⅱ
乘,탈 승,,,丿,3급Ⅱ
我,나 아:,,,戈,3급Ⅱ
哀,슬플 애,,,口,3급Ⅱ
役,부릴 역,,,彳,3급Ⅱ
炎,불꽃 염,,,火,3급Ⅱ
昇,오를 승,,,日,3급Ⅱ
阿,언덕 아,,,阜,3급Ⅱ
若,같을 약,반야 야,,艸,3급Ⅱ
譯,번역할 역,,,言,3급Ⅱ
影,그림자 영:,,,彡,3급Ⅱ
僧,중 승,,,人,3급Ⅱ
亞,버금 아(:),,,二,3급Ⅱ
讓,사양할 양:,,,言,3급Ⅱ
驛,역 역,,,馬,3급Ⅱ
譽,기릴 예:,명예 예:,,言,3급Ⅱ
烏,까마귀 오,,,火,3급Ⅱ
宇,집 우:,,,宀,3급Ⅱ
幼,어릴 유,,,幺,3급Ⅱ
翼,날개 익,,,羽,3급Ⅱ
莊,씩씩할 장,,,艸,3급Ⅱ
悟,깨달을 오:,,,心,3급Ⅱ
愚,어리석을 우,,,心,3급Ⅱ
柔,부드러울 유,,,木,3급Ⅱ
忍,참을 인,,,心,3급Ⅱ
葬,장사지낼 장:,,,艸,3급Ⅱ
獄,옥[囚舍] 옥,,,犬,3급Ⅱ
羽,깃 우:,,,羽,3급Ⅱ
維,벼리 유,,,糸,3급Ⅱ
逸,편안할 일,,,辵,3급Ⅱ
臟,오장 장:,,,肉,3급Ⅱ
瓦,기와 와:,,,瓦,3급Ⅱ
韻,운 운:,,,音,3급Ⅱ
裕,넉넉할 유:,,,衣,3급Ⅱ
壬,북방 임:,,,士,3급Ⅱ
粧,단장할 장,,,米,3급Ⅱ
緩,느릴 완:,,,糸,3급Ⅱ
越,넘을 월,,,走,3급Ⅱ
誘,꾈 유,,,言,3급Ⅱ
賃,품삯 임:,,,貝,3급Ⅱ
掌,손바닥 장:,,,手,3급Ⅱ
慾,욕심 욕,,,心,3급Ⅱ
胃,밥통 위,,,肉,3급Ⅱ
悠,멀 유,,,心,3급Ⅱ
紫,자줏빛 자,,,糸,3급Ⅱ
丈,어른 장:,,,一,3급Ⅱ
欲,하고자할 욕,,,欠,3급Ⅱ
僞,거짓 위,,,人,3급Ⅱ
潤,불을 윤:,,,水,3급Ⅱ
慈,사랑 자,,,心,3급Ⅱ
藏,감출 장:,,,艸,3급Ⅱ
辱,욕될 욕,,,辰,3급Ⅱ
謂,이를 위,,,言,3급Ⅱ
乙,새 을,,,乙,3급Ⅱ
刺,찌를 자:,찌를 척,,刀,3급Ⅱ
栽,심을 재:,,,木,3급Ⅱ
憂,근심 우,,,心,3급Ⅱ
猶,오히려 유,,,犬,3급Ⅱ
淫,음란할 음,,,水,3급Ⅱ
暫,잠깐 잠(:),,,日,3급Ⅱ
裁,옷마를 재,,,衣,3급Ⅱ
偶,짝 우:,,,人,3급Ⅱ
幽,그윽할 유,,,幺,3급Ⅱ
已,이미 이:,,,己,3급Ⅱ
潛,잠길 잠,,,水,3급Ⅱ
載,실을 재:,,,車,3급Ⅱ
著,나타날 저:,,,艸,3급Ⅱ
頂,정수리 정,,,頁,3급Ⅱ
兆,억조 조,,,儿,3급Ⅱ
仲,버금 중(:),,,人,3급Ⅱ
震,우레 진:,,,雨,3급Ⅱ
抵,막을[抗] 저:,,,手,3급Ⅱ
井,우물 정(:),,,二,3급Ⅱ
縱,세로 종,,,糸,3급Ⅱ
卽,곧 즉,,,卩,3급Ⅱ
鎭,진압할 진(:),,,金,3급Ⅱ
跡,발자취 적,,,足,3급Ⅱ
亭,정자 정,,,亠,3급Ⅱ
坐,앉을 좌:,,,土,3급Ⅱ
憎,미울 증,,,心,3급Ⅱ
辰,별 진,때 신,,辰,3급Ⅱ
寂,고요할 적,,,宀,3급Ⅱ
廷,조정 정,,,廴,3급Ⅱ
柱,기둥 주,,,木,3급Ⅱ
曾,일찍 증,,,曰,3급Ⅱ
振,떨칠 진:,,,手,3급Ⅱ
笛,피리 적,,,竹,3급Ⅱ
貞,곧을 정,,,貝,3급Ⅱ
珠,구슬 주,,,玉,3급Ⅱ
症,증세 증(:),,,疒,3급Ⅱ
疾,병 질,,,疒,3급Ⅱ
